Length,(1/4,3/8,0.375,0.305),(3/8,1/2,.5,.402),(1/2,5/8,.625,.527),(5/8,3/4,.75,.652),(3/4,7/8,.875,.745),(1,1-1/8,1.125,.995),(1-1/4,1-3/8,1.37,1.245),(1-1/2,-,1.625, 1.481),(2,-,2.125,1.959)
10,20,14,29,58,102,144,247,354,554,870,1820
20,11,23,47,82,116,247,445,701,1460
30,10,20,40,70,99,211,381,600,1250
40,NA,17,35,62,88,187,337,532,1110
50,NA,16,32,56,79,170,306,482,1000
60,NA,14,29,52,73,156,281,443,924
70,NA,13,27,48,68,145,262,413,859
80,NA,13,26,45,64,136,245,387,806
90,NA,12,24,43,60,129,232,366,761
100,NA,11,22,38,53,114,206,324,675
125,NA,10,20,34,48,103,186,294,612
150,NA,NA,18,31,45,95,171,270,563
175,NA,NA,17,29,41,89,159,251,523
200,NA,NA,15,26,37,78,141,223,464
250,NA,NA,13,23,33,71,128,202,420
300,NA,NA,12,22,31,65,118,186,387
350,NA,NA,11,20,28,61,110,173,360
400,NA,NA,11,19,27,57,103,162,338
450,NA,NA,10,18,25,54,97,153,319
500,NA,NA,NA,17,24,51,92,145,303
550,NA,NA,NA,16,23,49,88,139,289
600,NA,NA,NA,15,22,47,84,133,277
650,NA,NA,NA,15,21,45,81,128,266
700,NA,NA,NA,14,20,43,78,123,256
750,NA,NA,NA,14,20,42,75,119,247
800,NA,NA,NA,13,19,40,73,115,239
850,NA,NA,NA,13,18,39,71,111,232
900,NA,NA,NA,13,18,38,69,108,225
950,NA,NA,NA,12,17,37,67,105,219
1000,NA,NA,NA,12,16,35,63,100,208
1100,NA,NA,NA,11,16,34,60,95,199
1200,NA,NA,NA,11,15,32,58,91,190
1300,NA,NA,NA,10,14,31,56,88,183
1400,NA,NA,NA,NA,14,30,54,84,176
1500,NA,NA,NA,NA,13,29,52,82,170
1600,NA,NA,NA,NA,13,28,50,79,164
1700,NA,NA,NA,NA,13,27,49,77,159
1800,NA,NA,NA,NA,12,26,47,74,155
1900,NA,NA,NA,NA,12,25,46,72,151
2000,NA,NA,NA,NA,12,24,45,71,148
