Flow Designation,13,15,18,19,23,25,30,31,37,39,46,48,60,62
Length,Capacity In Cubic Feet Of Gas Per Hour
10,523,674,1080,1300,2000,2530,4920,5660,8300,9140,18100,19800,34400,40400
25,322,420,691,827,1290,1620,3080,3540,5310,5911,11400,12600,22000,25600
30,292,382,632,755,1180,1480,2800,3230,4860,5420,10400,11500,20100,23400
40,251,329,549,654,1030,1280,2420,2790,4230,4727,8970,10000,17400,20200
50,223,293,492,586,926,1150,2160,2490,3790,4251,8020,8930,15600,18100
75,180,238,403,479,763,944,1750,2020,3110,3506,6530,7320,12800,14800
80,174,230,391,463,740,915,1690,1960,3020,3400,6320,7090,12400,14300
100,154,205,350,415,665,820,1510,1740,2710,3057,5650,6350,11100,12800
150,124,166,287,339,548,672,1230,1420,2220,2521,4600,5200,9130,10500
200,107,143,249,294,478,584,1060,1220,1930,2199,3980,4510,7930,9090
250,95,128,223,263,430,524,945,1090,1730,1977,3550,4040,7110,8140
300,86,116,204,240,394,479,860,995,1590,1813,3240,3690,6500,7430
400,74,100,177,208,343,416,742,858,1380,1581,2800,3210,5650,6440
500,66,89,159,186,309,373,662,766,1040,1422,2500,2870,5060,5760
